rank,nickname,firstname,lastname,total
1,Air,Michael,Jordan,2000
2,Cap,Kareem,Abdul-Jabbar,1915
3,NULL,Bill,Russell,1507
4,King,LeBron,James,1453
5,"The Big Dipper",Wilt,Chamberlain,1361
6,"The Big Fundamental",Tim,Duncan,1319
7,"Black Mamba",Kobe,Bryant,1297
8,Shaq,Shaquille,O'Neal,1289
9,Magic,Earvin,Johnson,1261
10,"The Dream",Hakeem,Olajuwon,1089
11,"The Houdini of the Hardwood",Bob,Cousy,1077
12,NULL,Larry,Bird,1055
13,"Dr. J",Julius,Erving,989
14,Hondo,John,Havlicek,939
15,"Chairman of the Boards",Moses,Malone,894
16,"The Mailman",Karl,Malone,824
17,"Slim Reaper",Kevin,Durant,813
18,"Big O",Oscar,Robertson,797
19,"The Admiral",David,Robinson,770
20,"Big Blue",Bob,Pettit,750
21,KG,Kevin,Garnett,706
22,"Mr. Clutch",Jerry,West,648
23,"The German Race Car",Dirk,Nowitzki,641
24,"The Engine",Jason,Kidd,627
25,"The Miami Greyhound",Rick,Barry,627
26,"The A-Train",Artis,Gilmore,625
27,"Baby-Faced Assassin",Stephen,Curry,580
28,"Mr. Basketball",George,Mikan,575
29,NULL,John,Stockton,571
30,NULL,Scottie,Pippen,571
31,"The Answer",Allen,Iverson,559
32,Flash,Dwyane,Wade,557
33,NULL,Steve,Nash,538
34,"The Captain",Willis,Reed,501
35,CP3,Chris,Paul,489
36,"Sir Charles",Charles,Barkley,478
37,Superman,Dwight,Howard,475
38,NULL,Dolph,Schayes,470
39,Zeke,Isiah,Thomas,467
40,"The Glove",Gary,Payton,462
41,"The Worm",Dennis,Rodman,460
42,NULL,Mel,Daniels,434
43,"The Brodie",Russell,Westbrook,422
44,NULL,Bob,McAdoo,415
45,"Bullseye Bill",Bill,Sharman,404
46,NULL,Dikembe,Mutombo,391
47,"The Wide U",Wes,Unseld,381
48,"Big Red",Bill,Walton,377
49,"Big Ben",Ben,Wallace,374
50,"Mr. Inside",Elgin,Baylor,373
51,"The Big E",Elvin,Hayes,371
52,"The Beard",James,Harden,360
53,"Big Mac",George,McGinnis,359
54,"The Truth",Paul,Pierce,356
55,Iceman,George,Gervin,351
56,Clyde,Walt,Fraizer,341
57,"Big Red",Dave,Cowens,336
58,NULL,Patrick,Ewing,335
59,NULL,Sam,Jones,326
60,"The Chief",Robert,Parish,325
61,"The Stallion",Spencer,Haywood,323
62,NULL,Dennis,Johnson,323
63,Gabby,Neil,Johnston,321
64,NULL,Paul,Arizin,310
65,Tiny,Nate,Archibald,302
66,Horse,Dan,Issel,293
67,Zo,Alonzo,Mourning,288
68,"The Claw",Kawhi,Leonard,285
69,"Fiery Francophile",Tony,Parker,283
70,"The Kangaroo Kid",Billy,Cunningham,273
71,NULL,Joe,Dumars,270
72,"The Human Highlight Film",Dominique,Wilkins,269
73,"Jesus Shuttlesworth",Ray,Allen,258
74,"Black Hole",Kevin,McHale,249
75,"Clyde the Glide",Clyde,Drexler,247
76,"Mr. Memory",Jerry,Lucas,240
77,"Mr. Big Shot",Chauncey,Billups,235
78,Melo,Carmelo,Anthony,230
79,"Easy Ed",Ed,Macauley,228
80,NULL,Hal,Greer,227
81,T-Mac,Tracy,McGrady,225
82,"Tommy Gun",Tom,Heinsohn,225
83,Dugie,Slater,Martin,223
84,"Meal Ticket",Pau,Gasol,219
85,NULL,"K.C. ",Jones,216
86,Satch,Tom,Sanders,216
87,NULL,Bobby,Jones,214
88,"Big Shot Rob",Robert,Horry,211
89,Johnny,Rajon,Rondo,208
90,"The Kangaroo Kid",Jim,Pollard,205
91,NULL,Alvin,Robertson,204
92,Hawk,Connie,Hawkins,204
93,"The Kentucky Colonel",Frank,Ramsey,200
94,"Big Time James",James,Worthy,199
95,NULL,"Jo Jo",White,199
96,"Jumpin' Joe",Joe,Fulks,198
97,NULL,Mark,Eaton,197
98,Rock,Mitch,Richmond,194
99,Unibrow,Anthony,Davis,193
100,Duke,Dave,Bing,192
101,"The Harrisburg Houdini",Bob,Davies,192
102,NULL,Maurice,Cheeks,189
103,NULL,Louie,Dampier,187
104,"The Blade",Alex,English,186
105,NULL,Dave,DeBusschere,182
106,Day-Day,Draymond,Green,182
107,NULL,Derrick,Rose,181
108,"Air Canada",Vince,Carter,181
109,"The Squid",Sydney,Moncrief,178
110,Boo,Don,Buse,177
111,NULL,Chris,Webber,173
112,NULL,Vern,Mikkelsen,172
113,"Tim Bug",Tim,Hardaway,172
114,NULL,Andre,Iguodala,171
115,NULL,Andy,Phillip,170
116,Bells,Walt,Bellamy,168
117,NULL,Buck,Williams,167
118,NULL,Adrian,Dantley,166
119,NULL,Chris,Bosh,165
120,NULL,Nate,Thurmond,164
121,NULL,DeAndre,Jordan,164
122,Pistol,Pete,Maravich,162
123,NULL,Mack,Calvin,160
