nickname,firstname,lastname,total
Air,Michael,Jordan,2000
Cap,Kareem,Abdul-Jabbar,1915
NULL,Bill,Russell,1507
"The Big Dipper",Wilt,Chamberlain,1361
"The Big Fundamental",Tim,Duncan,1315
"Black Mamba",Kobe,Bryant,1293
Shaq,Shaquille,O'Neal,1289
Magic,Magic,Johnson,1261
King,LeBron,James,1184
"The Dream",Hakeem,Olajuwon,1089
NULL,Bob,Cousy,1077
NULL,Larry,Bird,1055
"Dr. J",Julius,Erving,989
Hondo,John,Havlicek,939
"Chairman of the Boards",Moses,Malone,894
"The Mailman",Karl,Malone,824
"Big O",Oscar,Robertson,797
"The Admiral",David,Robinson,770
NULL,Bob,Pettit,750
NULL,Kevin,Garnett,706
"Mr. Clutch",Jerry,West,648
NULL,Jason,Kidd,627
"The Miami Greyhound",Rick,Barry,627
"The A-Train",Artis,Gilmore,625
NULL,Dirk,Nowitzki,613
"Mr. Basketball",George,Mikan,575
NULL,John,Stockton,571
NULL,Scottie,Pippen,571
"The Answer",Allen,Iverson,559
NULL,Steve,Nash,538
Flash,Dwyane,Wade,521
"The Captain",Willis,Reed,501
"Sir Charles",Charles,Barkley,478
NULL,Dolph,Schayes,470
Zeke,Isiah,Thomas,467
"The Glove",Gary,Payton,462
"The Worm",Dennis,Rodman,460
Superman,Dwight,Howard,449
NULL,Mel,Daniels,434
CP3,Chris,Paul,417
NULL,Bob,McAdoo,415
NULL,Bill,Sharman,404
NULL,Kevin,Durant,391
NULL,Dikembe,Mutombo,391
NULL,Wes,Unseld,381
NULL,Bill,Walton,377
"Big Ben",Ben,Wallace,374
"Mr. Inside",Elgin,Baylor,373
"The Big E",Elvin,Hayes,371
NULL,George,McGinnis,359
NULL,George,Gervin,351
"The Truth",Paul,Pierce,349
Clyde,Walt,Fraizer,341
"Big Red",Dave,Cowens,336
NULL,Patrick,Ewing,335
NULL,Sam,Jones,326
"The Chief",Robert,Parish,325
NULL,Spencer,Haywood,323
NULL,Dennis,Johnson,323
Gabby,Neil,Johnston,321
NULL,Paul,Arizin,310
Nate,Tiny,Archibald,302
Horse,Dan,Issel,293
Zo,Alonzo,Mourning,288
"Fiery Francophile",Tony,Parker,281
"The Kangaroo Kid",Billy,Cunningham,273
NULL,Joe,Dumars,270
"The Human Highlight Film",Dominique,Wilkins,269
"Jesus Shuttlesworth",Ray,Allen,258
NULL,Stephen,Curry,251
"Black Hole",Kevin,McHale,249
"Clyde the Glide",Clyde,Drexler,247
NULL,Jerry,Lucas,240
"Mr. Big Shot",Chauncey,Billups,235
"Easy Ed",Ed,Macauley,228
NULL,Hal,Greer,227
T-Mac,Tracy,McGrady,225
"Tommy Gun",Tom,Heinsohn,225
Dugie,Slater,Martin,223
NULL,"K.C. ",Jones,216
Satch,Tom,Sanders,216
NULL,Bobby,Jones,214
NULL,Carmelo,Anthony,214
"Big Shot Rob",Robert,Horry,211
"The Kangaroo Kid",Jim,Pollard,205
NULL,Alvin,Robertson,204
Hawk,Connie,Hawkins,204
"The Kentucky Colonel",Frank,Ramsey,200
NULL,James,Worthy,199
NULL,"Jo Jo",White,199
"Jumpin' Joe",Joe,Fulks,198
NULL,Mark,Eaton,197
Rock,Mitch,Richmond,194
NULL,Dave,Bing,192
"The Harrisburg Houdini",Bob,Davies,192
NULL,Maurice,Cheeks,189
NULL,Louie,Dampier,187
"The Blade",Alex,English,186
NULL,Dave,DeBusschere,182
NULL,Derrick,Rose,181
"Meal Ticket",Pau,Gasol,179
"The Squid",Sydney,Moncrief,178
Boo,Don,Bose,177
NULL,Chris,Webber,173
NULL,Kawhi,Leonard,173
NULL,Vern,Mikkelsen,172
"Tim Bug",Tim,Hardaway,172
NULL,Andy,Phillip,170
NULL,Rajon,Rondo,170
Bells,Walt,Bellamy,168
NULL,Buck,Williams,167
"Air Canada",Vince,Carter,167
NULL,Adrian,Dantley,166
NULL,Nate,Thurmond,164
Pistol,Pete,Maravich,162
NULL,Charlie,Scott,159
"The Matrix",Shawn,Marion,157
"Uncle Reg",Reggie,Miller,155
NULL,Bernald,King,155
"Ron Artest",Metta,"World Peace",155
NULL,Amar'e,Stoudemire,155
NULL,Mookie,Blaylock,151
NULL,Lenny,Wilkens,151
NULL,Chris,Mullin,151
G-Money,Grant,Hill,149
NULL,Paul,Westphal,147
NULL,Michael,Cooper,146
NULL,Jack,Sikma,145
NULL,Russell,Westbrook,145
Skywalker,David,Thompson,144
"The Grindfather",Marcus,Camby,143
Action,Mark,Jackson,142
NULL,Kevin,Johnson,141
NULL,Chris,Bosh,141
NULL,Jimmy,Jones,141
NULL,Bob,Lanier,138
NULL,Andre,Iguodala,138
NULL,Bailey,Howell,134
"The Wizard",Gus,Williams,133
Honeycomb,Gus,Johnson,131
"The General",Horace,Grant,131
NULL,Donnie,Freeman,131
NULL,Tyson,Chandler,130
NULL,Clyde,Lovellette,130
"Sugar Ray",Micheal,"Ray Richardson",129
NULL,Brian,Taylor,127
"The Beard",Baron,Davis,125
NULL,Derek,Fisher,124
NULL,Roger,Brown,124
NULL,Norm,Nixon,124
Hollywood,Ron,Harper,123
"The Beard",James,Harden,122
Slats,Max,Zaslofsky,122
"Big Z",Zelmo,Beaty,121
Stumpy,Gail,Goodrich,121
NULL,Guy,Rodgers,121
NULL,Larry,Jones,121
Lambs,Bill,Laimbeer,120
NULL,Jermaine,O'Neal,119
NULL,Cliff,Hagan,119
NULL,Larry,Foust,119
Pops,Caldwell,Jones,117
NULL,Deron,Williams,117
NULL,Manu,Ginobli,117
"The Pearl",Earl,Monroe,117
NULL,Carl,Braun,117
NULL,Norm,"Van Lier",116
NULL,Ron,Boone,115
NULL,Bill,Melchionni,115
"The Horse",Harry,Gallatin,114
NULL,Glen,Rice,112
NULL,Swen,Nater,112
NULL,Paul,Silas,109
NULL,Richie,Guerin,109
NULL,Blake,Griffin,107
Bird,George,Yardley,107
"The Great Wall",Yao,Ming,106
NULL,Stephon,Marbury,106
NULL,Terry,Cummings,106
Hooks,Bobby,Wanzer,106
Tricky,Dick,McGuire,106
NULL,Elton,Brand,105
"Reign Man",Shawn,Kemp,105
"Hot Dog",Rod,Strickland,105
NULL,Larry,Brown,104
"The Whale",Willie,Naulls,104
NULL,Warren,Jabali,100
NULL,Kevin,Love,100
NULL,Jack,Twyman,100
NULL,Mark,Price,100
Stilts,Arnie,Risen,100
NULL,Joakim,Noah,98
NULL,Willie,Wise,98
NULL,Marc,Gasol,97
NULL,Larry,Costello,96
NULL,Tree,Rollins,95
NULL,Peja,Stojakovic,95
NULL,Maurice,Stokes,92
NULL,Andre,Miller,90
"Agent Zero",Gilbert,Arenas,90
"The Jet",Chet,Walker,89
NULL,Clifford,Robinson,88
NULL,Larry,Nance,87
NULL,Bruce,Bowen,86
NULL,Charlie,Oakley,85
"Pocket Rocket",Calvin,Murphy,85
Penny,Anfernee,Hardaway,85
NULL,Mark,Aguirre,85
NULL,Red,Robbins,85
NULL,George,Johnson,84
NULL,Bill,Bridges,84
"The Whopper",Billy,Paultz,83
NULL,Eddie,Jones,83
NULL,Anthony,Davis,82
NULL,Joe,Johnson,82
"The Jet",Jason,Terry,82
NULL,LaMarcus,Aldridge,80
"Lamar Mundane",Dale,Ellis,80
Greyhound,Walter,Davis,79
NULL,Fat,Lever,79
AK47,Andrei,Kirilenko,78
NULL,Tom,Chambers,77
NULL,Theo,Ratliff,77
NULL,Randy,Smith,76
NULL,Ralph,Sampson,74
NULL,Dan,Roundfield,74
NULL,Latrell,Sprewell,74
NULL,Freddie,Lewis,73
NULL,Terry,Porter,71
NULL,Jeff,Hornacek,70
NULL,DeAndre,Jordan,69
NULL,Bob,Netolicky,69
NULL,Serge,Ibaka,66
NULL,Paul,George,66
NULL,Zach,Randolph,66
NULL,Brandon,Roy,65
Greyhound,Bob,Dandrige,62
"The Wall",Wayne,Embry,61
NULL,Carlos,Boozer,60
"Uncle Drew",Kyrie,Irving,58
NULL,John,Lucas,57
Silk,Jamaal,Wilkes,57
NULL,Juwan,Howard,57
Boogie,DeMarcus,Cousins,57
NULL,Andrew,Bynum,56
NULL,Antawn,Jamison,56
NULL,Derrick,Coleman,55
"Optimus Dime",John,Wall,53
"The Grindfather",Tony,Allen,51
NULL,Vlade,Divac,49
NULL,Mike,Miller,48
NULL,Al,Horford,46
NULL,Damian,Lillard,43
NULL,Monte,Ellis,43
NULL,Klay,Thompson,42
NULL,Kyle,Korver,38
NULL,Jamal,Crawford,38
NULL,Jimmy,Butler,35
Batman,Danny,Granger,35
NULL,Roy,Hibbert,34
"Tuff Juice",Caron,Butler,33
NULL,Brook,Lopez,30
NULL,Ricky,Rubio,28
NULL,Paul,Millsap,27
Odie,Adrian,Smith,25
"Big Penguin",Andre,Drummond,24
NULL,Michael,Carter-Williams,20
NULL,Jeff,Teague,20
NULL,Kyle,Lowry,20
"Maple Jordan",Andrew,Wiggins,18
NULL,JaVale,McGee,17
NULL,Tyreke,Evans,17
NULL,Jrue,Holiday,15
NULL,Draymond,Green,14
